Station_ID,date,Monthly_MSL,Monthly_Avg_Temp
"San Diego, CA",1979-1,-0.002,56.8
"San Diego, CA",1979-2,-0.04,56.9
"San Diego, CA",1979-3,-0.039,60.1
"San Diego, CA",1979-4,-0.04,63.4
"San Diego, CA",1979-5,-0.047,65.5
"San Diego, CA",1979-6,-0.055,70.2
"San Diego, CA",1979-7,-0.071,71.7
"San Diego, CA",1979-8,-0.046,73.8
"San Diego, CA",1979-9,-0.042,76.2
"San Diego, CA",1979-10,-0.068,68.6
"San Diego, CA",1979-11,-0.082,62.3
"San Diego, CA",1979-12,-0.034,60.5
"San Diego, CA",1980-1,0.019,61
"San Diego, CA",1980-2,0.085,63.5
"San Diego, CA",1980-3,0.022,61.5
"San Diego, CA",1980-4,-0.012,63.8
"San Diego, CA",1980-5,-0.041,63.7
"San Diego, CA",1980-6,-0.036,68.4
"San Diego, CA",1980-7,-0.065,72.9
"San Diego, CA",1980-8,-0.009,74.1
"San Diego, CA",1980-9,-0.042,70.4
"San Diego, CA",1980-10,-0.056,67.3
"San Diego, CA",1980-11,-0.051,62.6
"San Diego, CA",1980-12,-0.043,60.7
"San Diego, CA",1981-1,-0.02,61.3
"San Diego, CA",1981-2,-0.043,62.1
"San Diego, CA",1981-3,-0.03,61
"San Diego, CA",1981-4,0.009,64.3
"San Diego, CA",1981-5,0.014,67.2
"San Diego, CA",1981-6,-0.009,72.8
"San Diego, CA",1981-7,-0.016,75.6
"San Diego, CA",1981-8,-0.046,75.8
"San Diego, CA",1981-9,-0.073,73.5
"San Diego, CA",1981-10,-0.05,67.1
"San Diego, CA",1981-11,-0.054,63.5
"San Diego, CA",1981-12,-0.062,60.2
"San Diego, CA",1982-1,-0.081,56.5
"San Diego, CA",1982-2,-0.055,60.7
"San Diego, CA",1982-3,0,60.5
"San Diego, CA",1982-4,-0.052,63.7
"San Diego, CA",1982-5,0.008,65.7
"San Diego, CA",1982-6,-0.036,66.6
"San Diego, CA",1982-7,-0.029,71.8
"San Diego, CA",1982-8,0.012,73.4
"San Diego, CA",1982-9,0.068,73.1
"San Diego, CA",1982-10,0.066,70.1
"San Diego, CA",1982-11,0.133,62.1
"San Diego, CA",1982-12,0.091,57.3
"San Diego, CA",1983-1,0.154,60.6
"San Diego, CA",1983-2,0.091,60.8
"San Diego, CA",1983-3,0.037,61.9
"San Diego, CA",1983-4,0.061,62.3
"San Diego, CA",1983-5,0.047,66.1
"San Diego, CA",1983-6,0.098,68
