date,year,mo,meanTemp
1850/01,1850,01,-0.698090909090909
1850/02,1850,02,-0.28363636363636363
1850/03,1850,03,-0.7327272727272728
1850/04,1850,04,-0.5618181818181818
1850/05,1850,05,-0.329
1850/06,1850,06,-0.21463636363636363
1850/07,1850,07,-0.12654545454545454
1850/08,1850,08,-0.23618181818181816
1850/09,1850,09,-0.4384545454545455
1850/10,1850,10,-0.44909090909090915
1850/11,1850,11,-0.18772727272727277
1850/12,1850,12,-0.2579090909090909
1851/01,1851,01,-0.29445454545454547
1851/02,1851,02,-0.3525454545454545
1851/03,1851,03,-0.4795454545454545
1851/04,1851,04,-0.43981818181818183
1851/05,1851,05,-0.2983636363636364
1851/06,1851,06,-0.19981818181818187
1851/07,1851,07,-0.21336363636363637
1851/08,1851,08,-0.15645454545454543
1851/09,1851,09,-0.10100000000000002
1851/10,1851,10,-0.055454545454545444
1851/11,1851,11,-0.021272727272727276
1851/12,1851,12,-0.05063636363636362
1852/01,1852,01,-0.31254545454545457
1852/02,1852,02,-0.47445454545454546
1852/03,1852,03,-0.5032727272727272
1852/04,1852,04,-0.5556363636363637
1852/05,1852,05,-0.2113636363636364
1852/06,1852,06,-0.04181818181818182
1852/07,1852,07,-0.017363636363636362
1852/08,1852,08,-0.20300000000000004
1852/09,1852,09,-0.12354545454545454
1852/10,1852,10,-0.21481818181818182
1852/11,1852,11,-0.19363636363636363
1852/12,1852,12,0.07227272727272728
1853/01,1853,01,-0.17872727272727276
1853/02,1853,02,-0.32472727272727275
1853/03,1853,03,-0.3094545454545454
1853/04,1853,04,-0.3524545454545454
1853/05,1853,05,-0.2691818181818182
1853/06,1853,06,-0.17690909090909088
1853/07,1853,07,-0.05927272727272728
1853/08,1853,08,-0.14881818181818182
1853/09,1853,09,-0.4042727272727272
1853/10,1853,10,-0.3609090909090909
1853/11,1853,11,-0.2552727272727273
1853/12,1853,12,-0.43672727272727285
1854/01,1854,01,-0.3610909090909091
1854/02,1854,02,-0.2803636363636364
1854/03,1854,03,-0.28663636363636363
1854/04,1854,04,-0.35272727272727267
1854/05,1854,05,-0.23472727272727276
1854/06,1854,06,-0.21990909090909086
1854/07,1854,07,-0.22645454545454544
1854/08,1854,08,-0.16872727272727273
1854/09,1854,09,-0.11863636363636364
1854/10,1854,10,-0.19054545454545452
1854/11,1854,11,-0.36754545454545456
1854/12,1854,12,-0.23418181818181824
1855/01,1855,01,-0.1669090909090909
1855/02,1855,02,-0.3986363636363637
1855/03,1855,03,-0.306090909090909
1855/04,1855,04,-0.22118181818181817
1855/05,1855,05,-0.3392727272727272
1855/06,1855,06,-0.16827272727272727
1855/07,1855,07,-0.2712727272727273
1855/08,1855,08,-0.1640909090909091
1855/09,1855,09,-0.33499999999999996
1855/10,1855,10,-0.21772727272727277
1855/11,1855,11,-0.21436363636363637
1855/12,1855,12,-0.5185454545454545
1856/01,1856,01,-0.11881818181818184
1856/02,1856,02,-0.37409090909090903
1856/03,1856,03,-0.528909090909091
1856/04,1856,04,-0.3794545454545455
1856/05,1856,05,-0.13045454545454546
1856/06,1856,06,-0.2923636363636364
1856/07,1856,07,-0.3038181818181819
1856/08,1856,08,-0.3086363636363636
1856/09,1856,09,-0.4601818181818182
1856/10,1856,10,-0.3903636363636364
1856/11,1856,11,-0.6058181818181818
1856/12,1856,12,-0.4474545454545455
1857/01,1857,01,-0.511
1857/02,1857,02,-0.34209090909090906
1857/03,1857,03,-0.43418181818181817
1857/04,1857,04,-0.6485454545454545
1857/05,1857,05,-0.5719090909090908
1857/06,1857,06,-0.31218181818181817
1857/07,1857,07,-0.5412727272727271
1857/08,1857,08,-0.3287272727272727
1857/09,1857,09,-0.39236363636363636
1857/10,1857,10,-0.47445454545454546
1857/11,1857,11,-0.6669090909090909
1857/12,1857,12,-0.3594545454545454
1858/01,1858,01,-0.5263636363636364
1858/02,1858,02,-0.7055454545454546
1858/03,1858,03,-0.5515454545454544
1858/04,1858,04,-0.5095454545454546
1858/05,1858,05,-0.6557272727272727
1858/06,1858,06,-0.5848181818181819
1858/07,1858,07,-0.32954545454545453
1858/08,1858,08,-0.27809090909090906
1858/09,1858,09,-0.3329090909090909
