Date,max_temp
2015-09-03,33.9
2015-09-04,29.4
2015-09-05,28.3
2015-09-06,30.6
2015-09-07,33.3
2015-09-08,36.1
2015-09-09,32.2
2015-09-10,26.1
2015-09-11,27.2
2015-09-12,26.1
2015-09-13,26.7
2015-09-14,25.0
2015-09-15,28.9
2015-09-16,31.1
2015-09-17,31.7
2015-09-18,30.6
2015-09-19,28.3
2015-09-20,26.1
2015-09-21,22.8
2015-09-22,21.7
2015-09-23,26.7
2015-09-24,27.8
2015-09-25,24.4
2015-09-26,22.2
2015-09-27,21.7
2015-09-28,25.6
2015-09-29,28.3
2015-09-30,26.1
2015-10-01,17.8
2015-10-02,13.9
2015-10-03,12.8
2015-10-04,17.2
2015-10-05,19.4
2015-10-06,22.8
2015-10-07,22.8
2015-10-08,22.2
2015-10-09,25.6
2015-10-10,18.3
2015-10-11,20.6
2015-10-12,25.0
2015-10-13,22.2
2015-10-14,20.6
2015-10-15,17.8
2015-10-16,17.8
2015-10-17,13.3
2015-10-18,10.0
2015-10-19,11.7
2015-10-20,21.1
2015-10-21,24.4
2015-10-22,23.9
2015-10-23,18.3
2015-10-24,13.9
2015-10-25,20.0
2015-10-26,14.4
2015-10-27,15.0
2015-10-28,20.6
2015-10-29,22.8
2015-10-30,16.1
2015-10-31,13.3
2015-11-01,18.3
2015-11-02,17.2
2015-11-03,22.2
2015-11-04,21.1
2015-11-05,21.7
2015-11-06,23.3
2015-11-07,22.2
2015-11-08,13.3
2015-11-09,15.0
2015-11-10,13.9
2015-11-11,14.4
2015-11-12,16.1
2015-11-13,14.4
2015-11-14,9.4
2015-11-15,14.4
2015-11-16,19.4
2015-11-17,11.1
2015-11-18,14.4
2015-11-19,17.8
2015-11-20,17.8
2015-11-21,11.7
2015-11-22,12.8
2015-11-23,6.7
2015-11-24,7.8
2015-11-25,10.0
2015-11-26,15.6
2015-11-27,17.8
2015-11-28,17.8
2015-11-29,9.4
2015-11-30,8.3
2015-12-01,10.6
2015-12-02,13.9
2015-12-03,12.8
2015-12-04,10.6
2015-12-05,10.6
2015-12-06,11.7
2015-12-07,12.2
2015-12-08,9.4
2015-12-09,12.8
