year,region,avg_temp
1980,Africa,24.02
1980,Asia,18.29
1980,Caribbean,25.4
1980,Central America,24.58
1980,Europe,7.44
1980,North America,0.91
1980,Oceania,24.75
1980,South America,21.21
1981,Africa,23.93
1981,Asia,18.34
1981,Caribbean,25.3
1981,Central America,24.32
1981,Europe,8.05
1981,North America,1.38
1981,Oceania,24.8
1981,South America,20.97
1982,Africa,23.92
1982,Asia,17.91
1982,Caribbean,25.2
1982,Central America,24.54
1982,Europe,8.44
1982,North America,0.09
1982,Oceania,24.62
1982,South America,21.1
1983,Africa,24.31
1983,Asia,18.17
1983,Caribbean,25.45
1983,Central America,24.88
1983,Europe,8.59
1983,North America,0.28
1983,Oceania,24.81
1983,South America,21.25
1984,Africa,24.06
1984,Asia,17.92
1984,Caribbean,24.96
1984,Central America,24.08
1984,Europe,8.03
1984,North America,0.39
1984,Oceania,24.78
1984,South America,20.7
1985,Africa,24.01
1985,Asia,18.19
1985,Caribbean,24.89
1985,Central America,24.35
1985,Europe,7.42
1985,North America,0.51
1985,Oceania,24.81
1985,South America,20.94
1986,Africa,23.96
1986,Asia,18.16
1986,Caribbean,25.09
1986,Central America,24.38
1986,Europe,7.94
1986,North America,0.73
1986,Oceania,24.78
1986,South America,21.09
1987,Africa,24.45
1987,Asia,18.43
1987,Caribbean,25.65
1987,Central America,24.87
1987,Europe,7.57
1987,North America,1.01
1987,Oceania,24.75
1987,South America,21.42
1988,Africa,24.12
1988,Asia,18.44
1988,Caribbean,25.41
1988,Central America,24.69
1988,Europe,8.5
1988,North America,0.95
1988,Oceania,25
1988,South America,20.97
1989,Africa,23.84
1989,Asia,18.29
1989,Caribbean,25.11
1989,Central America,24.45
1989,Europe,9.03
1989,North America,0.36
1989,Oceania,24.75
1989,South America,20.88
1990,Africa,24.23
1990,Asia,18.59
1990,Caribbean,25.45
1990,Central America,24.68
1990,Europe,9.14
1990,North America,0.81
1990,Oceania,24.93
1990,South America,21.08
1991,Africa,24.1
1991,Asia,18.38
1991,Caribbean,25.46
1991,Central America,24.76
1991,Europe,8.28
1991,North America,1
1991,Oceania,24.73
1991,South America,21.12
1992,Africa,24.01
1992,Asia,17.87
1992,Caribbean,25.31
1992,Central America,24.7
1992,Europe,8.78
1992,North America,0.47
1992,Oceania,24.65
1992,South America,20.95
1993,Africa,24.11
1993,Asia,18.11
1993,Caribbean,25.5
1993,Central America,24.64
1993,Europe,8.22
1993,North America,0.67
1993,Oceania,24.55
1993,South America,21.04
1994,Africa,24.03
1994,Asia,18.56
1994,Caribbean,25.47
1994,Central America,24.78
1994,Europe,9.11
1994,North America,1.01
1994,Oceania,24.66
1994,South America,21.26
1995,Africa,24.28
1995,Asia,18.56
1995,Caribbean,25.56
1995,Central America,24.8
1995,Europe,8.65
1995,North America,1.03
1995,Oceania,24.84
1995,South America,21.24
1996,Africa,24.18
1996,Asia,18.41
1996,Caribbean,25.24
1996,Central America,24.35
1996,Europe,7.83
1996,North America,0.77
1996,Oceania,24.88
